"code","name","address","city","state","zip","phone"
"HQ","SEC Headquarters","100 F Street, NE","Washington, DC 20549","(202) 942-8088",
"ARO","Atlanta Regional Office","950 East Paces Ferry, N.E., Suite 900","Atlanta","GA","30326-1382","(404) 842-7600",
"BRO","Boston Regional Office","33 Arch Street, 23rd Floor","Boston","MA","02110-1424","(617) 573-8900",
"CHRO","Chicago Regional Office","175 W. Jackson Boulevard, Suite 900","Chicago","IL","60604","(312) 353-7390",
"DRO","Denver Regional Office","1961 Stout Street, Suite 1700","Denver","CO","80294-1961","(303) 844-1000",
"FWRO","Fort Worth Regional Office","Burnett Plaza","801 Cherry Street, Suite 1900, Unit 18","Fort Worth","TX","76102","(817) 978-3821",
"LARO","Los Angeles Regional Office","444 South Flower Street, Suite 900","Los Angeles","CA","90071","(323) 965-3998",
"MIRO","Miami Regional Office","801 Brickell Ave., Suite 1800","Miami","FL","33131","(305) 982-6300",
"NYRO","New York Regional Office","Brookfield Place","200 Vesey Street, Suite 400","New York","NY","10281-1022","(212) 336-1100",
"PRO","Philadelphia Regional Office","One Penn Center, 1617 JFK Boulevard, Suite 520","Philadelphia","PA","19103","(215) 597-3100",
"SLRO","Salt Lake Regional Office","351 S. West Temple St., Suite 6.100","Salt Lake City","UT","84101","(801) 524-5796",
"SFRO","San Francisco Regional Office","44 Montgomery Street, Suite 2800","San Francisco","CA","94104","(415) 705-2500",
